summary_type,category,job_count,salary_min_avg,salary_max_avg,salary_avg
job_category,Other,21,1333.3333333333333,1641.6666666666667,1487.5
job_category,Business Administration,791,698.2151898734177,1495.759493670886,1096.987341772152
job_category,Information Technology,1190,672.3628691983122,1444.0928270042193,1058.2278481012659
job_category,NGO / Development,797,660.6045340050377,1418.0100755667506,1039.3073047858943
job_category,Operations,382,596.7303664921466,1097.4607329842931,847.0955497382199
job_category,Education / Training,784,484.6173469387755,1100.6377551020407,792.6275510204082
job_category,Accounting / Finance,795,534.0530303030303,1044.078282828283,789.0656565656566
job_category,Hospitality / Tourism,792,504.55696202531647,1030.379746835443,767.4683544303797
job_category,Legal / Compliance,394,464.16243654822335,926.9035532994924,695.5329949238578
job_category,Procurement,387,458.83720930232556,917.5968992248062,688.2170542635658
job_category,Healthcare,790,400.0253164556962,900.0759493670886,650.0506329113924
job_category,Creative / Design,396,400.0,900.0,650.0
job_category,Logistics / Supply Chain,790,402.8643852978454,832.1546261089987,617.5095057034221
job_category,Human Resources,402,400.90909090909093,789.8232323232323,595.3661616161617
job_category,Manufacturing,790,380.73417721518985,807.4303797468355,594.0822784810126
job_category,Sales / Marketing,789,354.7275031685678,804.1191381495564,579.4233206590621
job_category,Banking / Finance,796,354.96831432192647,763.4600760456274,559.214195183777
job_category,Customer Service,396,252.95454545454547,502.52525252525254,377.739898989899
job_category,Administration,414,258.57142857142856,461.70426065162906,360.1378446115288
job_title,"General Manager @ Elite Travel & Tours Co., Ltd.",1,4000.0,5000.0,4500.0
job_title,Brand Manager @ Mixue Ice Cream & Tea,1,2000.0,2000.0,2000.0
job_title,Corporate Business Development Manager - Business Support,3,953.3333333333334,2113.3333333333335,1533.3333333333333
job_title,Corporate Business Development Manager - Financial Services,3,953.3333333333334,2113.3333333333335,1533.3333333333333
job_title,Corporate Business Development Manager - Quality,3,953.3333333333334,2113.3333333333335,1533.3333333333333
job_title,Corporate Business Development Manager Coordinator - Field Operations,3,953.3333333333334,2113.3333333333335,1533.3333333333333
job_title,Corporate Business Development Manager Coordinator - Head Office,3,953.3333333333334,2113.3333333333335,1533.3333333333333
job_title,Corporate Business Development Manager Coordinator - Healthcare,3,953.3333333333334,2113.3333333333335,1533.3333333333333
job_title,Senior Business Development Manager Officer - Logistics,3,953.3333333333334,2113.3333333333335,1533.3333333333333
job_title,Senior Business Development Manager Officer - Product,3,953.3333333333334,2113.3333333333335,1533.3333333333333
job_title,Senior Business Development Manager Officer - Technology,3,953.3333333333334,2113.3333333333335,1533.3333333333333
job_title,Senior Business Development Manager Representative - Hospitality,3,953.3333333333334,2113.3333333333335,1533.3333333333333
job_title,Senior Business Development Manager Representative - Training,3,953.3333333333334,2113.3333333333335,1533.3333333333333
job_title,Corporate Business Development Manager - Digital,4,937.5,2080.0,1508.75
job_title,Corporate Business Development Manager Coordinator - Compliance,4,937.5,2080.0,1508.75
job_title,Corporate Business Development Manager Coordinator - Retail,4,937.5,2080.0,1508.75
job_title,Senior Business Development Manager Officer - Sme,4,937.5,2080.0,1508.75
job_title,Senior Business Development Manager Representative - Branch Network,4,937.5,2080.0,1508.75
job_title,Corporate Business Development Manager - Logistics,3,923.3333333333334,2046.6666666666667,1485.0
job_title,Corporate Business Development Manager - Product,3,923.3333333333334,2046.6666666666667,1485.0
job_title,Corporate Business Development Manager - Technology,3,923.3333333333334,2046.6666666666667,1485.0
job_title,Corporate Business Development Manager Coordinator - Hospitality,3,923.3333333333334,2046.6666666666667,1485.0
job_title,Corporate Business Development Manager Coordinator - Training,3,923.3333333333334,2046.6666666666667,1485.0
job_title,Senior Business Development Manager Officer - Field Operations,3,923.3333333333334,2046.6666666666667,1485.0
job_title,Senior Business Development Manager Officer - Head Office,3,923.3333333333334,2046.6666666666667,1485.0
job_title,Senior Business Development Manager Officer - Healthcare,3,923.3333333333334,2046.6666666666667,1485.0
